casenum,order,agent,action,permissibility
1,1,1,human,do nothing,40
2,2,1,computer,do nothing,30
3,3,2,human,do nothing,30
4,4,2,computer,do nothing,20
5,5,3,human,do nothing,90
6,6,3,computer,do nothing,50
7,7,4,human,do nothing,40
8,8,4,computer,do nothing,70
9,9,5,human,do nothing,80
10,10,5,computer,do nothing,80
11,11,6,human,do nothing,40
12,12,6,computer,do nothing,70
13,13,1,human,do nothing,50
14,14,1,computer,do nothing,20
15,15,2,human,do nothing,30
16,16,2,computer,do nothing,30
17,17,3,human,do nothing,30
18,18,3,computer,do nothing,50
19,19,4,human,do nothing,70
20,20,4,computer,do nothing,80
21,21,5,human,do nothing,20
22,22,5,computer,do nothing,20
23,23,6,human,do nothing,20
24,24,6,computer,do nothing,60
25,25,1,human,do nothing,70
26,26,1,computer,do nothing,40
27,27,2,human,do nothing,40
28,28,2,computer,do nothing,50
29,29,3,human,do nothing,40
30,30,3,computer,do nothing,60
31,31,4,human,do nothing,50
32,32,4,computer,do nothing,60
33,33,5,human,do nothing,70
34,34,5,computer,do nothing,100
35,35,6,human,do nothing,50
36,36,6,computer,do nothing,30
37,37,1,human,do nothing,90
38,38,1,computer,do nothing,100
39,39,2,human,do nothing,70
40,40,2,computer,do nothing,100
41,41,3,human,do nothing,30
42,42,3,computer,do nothing,50
43,43,4,human,do nothing,70
44,44,4,computer,do nothing,100
45,45,5,human,do nothing,50
46,46,5,computer,do nothing,40
47,47,6,human,do nothing,40
48,48,6,computer,do nothing,50
49,49,1,human,do nothing,30
50,50,1,computer,do nothing,20
51,51,2,human,do nothing,90
52,52,2,computer,do nothing,0
53,53,3,human,do nothing,60
54,54,3,computer,do nothing,70
55,55,4,human,do nothing,10
56,56,4,computer,do nothing,60
57,57,5,human,do nothing,70
58,58,5,computer,do nothing,30
59,59,6,human,do nothing,0
60,60,6,computer,do nothing,70
61,61,1,human,do nothing,30
62,62,1,computer,do nothing,100
63,63,2,human,do nothing,20
64,64,2,computer,do nothing,20
65,65,3,human,do nothing,0
66,66,3,computer,do nothing,80
