casenum,guilt,action,permissibility
1,129,guilty,swerve,0
2,129,guilty,stay,100
3,130,not guilty,swerve,20
4,130,not guilty,stay,90
5,131,guilty,swerve,30
6,131,guilty,stay,70
7,132,not guilty,swerve,20
8,132,not guilty,stay,80
9,133,guilty,swerve,70
10,133,guilty,stay,80
11,134,not guilty,swerve,0
12,134,not guilty,stay,0
13,135,guilty,swerve,0
14,135,guilty,stay,100
15,136,not guilty,swerve,100
16,136,not guilty,stay,0
17,137,guilty,swerve,30
18,137,guilty,stay,100
19,138,not guilty,swerve,20
20,138,not guilty,stay,100
21,139,guilty,swerve,0
22,139,guilty,stay,90
23,140,not guilty,swerve,50
24,140,not guilty,stay,50
25,141,guilty,swerve,70
26,141,guilty,stay,30
27,142,not guilty,swerve,80
28,142,not guilty,stay,20
29,143,guilty,swerve,20
30,143,guilty,stay,70
31,144,not guilty,swerve,0
32,144,not guilty,stay,0
33,145,guilty,swerve,70
34,145,guilty,stay,60
35,146,not guilty,swerve,0
36,146,not guilty,stay,100
37,147,guilty,swerve,20
38,147,guilty,stay,70
39,148,not guilty,swerve,80
40,148,not guilty,stay,20
41,149,guilty,swerve,0
42,149,guilty,stay,100
43,150,not guilty,swerve,0
44,150,not guilty,stay,100
45,151,guilty,swerve,0
46,151,guilty,stay,0
47,152,not guilty,swerve,0
48,152,not guilty,stay,0
49,153,guilty,swerve,10
50,153,guilty,stay,100
51,154,not guilty,swerve,100
52,154,not guilty,stay,70
53,155,guilty,swerve,20
54,155,guilty,stay,80
55,156,not guilty,swerve,70
56,156,not guilty,stay,20
57,157,guilty,swerve,60
58,157,guilty,stay,20
59,158,not guilty,swerve,60
60,158,not guilty,stay,50
61,159,guilty,swerve,50
62,159,guilty,stay,50
63,160,not guilty,swerve,0
64,160,not guilty,stay,0
65,161,guilty,swerve,90
66,161,guilty,stay,90
67,162,not guilty,swerve,100
68,162,not guilty,stay,0
69,163,guilty,swerve,0
70,163,guilty,stay,100
71,164,not guilty,swerve,0
72,164,not guilty,stay,0
73,165,guilty,swerve,20
74,165,guilty,stay,80
75,166,not guilty,swerve,80
76,166,not guilty,stay,20
77,167,guilty,swerve,60
78,167,guilty,stay,40
79,168,not guilty,swerve,20
80,168,not guilty,stay,50
81,169,guilty,swerve,60
82,169,guilty,stay,10
83,170,not guilty,swerve,0
84,170,not guilty,stay,0
85,171,guilty,swerve,50
86,171,guilty,stay,60
87,172,not guilty,swerve,0
88,172,not guilty,stay,0
89,173,guilty,swerve,80
90,173,guilty,stay,100
91,174,not guilty,swerve,0
92,174,not guilty,stay,0
93,175,guilty,swerve,60
94,175,guilty,stay,40
95,176,not guilty,swerve,0
96,176,not guilty,stay,0
97,177,guilty,swerve,60
98,177,guilty,stay,30
99,178,not guilty,swerve,20
100,178,not guilty,stay,30
101,179,guilty,swerve,10
102,179,guilty,stay,80
103,180,not guilty,swerve,30
104,180,not guilty,stay,0
105,181,guilty,swerve,NA
106,181,guilty,stay,100
107,182,not guilty,swerve,10
108,182,not guilty,stay,80
109,183,guilty,swerve,20
110,183,guilty,stay,50
111,184,not guilty,swerve,50
112,184,not guilty,stay,100
113,185,guilty,swerve,70
114,185,guilty,stay,30
115,186,not guilty,swerve,60
116,186,not guilty,stay,40
117,187,guilty,swerve,0
118,187,guilty,stay,80
119,188,not guilty,swerve,80
120,188,not guilty,stay,20
121,189,guilty,swerve,30
122,189,guilty,stay,20
123,190,not guilty,swerve,70
124,190,not guilty,stay,50
125,191,guilty,swerve,20
126,191,guilty,stay,80
127,192,not guilty,swerve,40
128,192,not guilty,stay,50
129,193,guilty,swerve,20
130,193,guilty,stay,60
131,194,not guilty,swerve,100
132,194,not guilty,stay,0
133,195,guilty,swerve,80
134,195,guilty,stay,70
135,196,not guilty,swerve,80
136,196,not guilty,stay,20
137,197,guilty,swerve,70
138,197,guilty,stay,10
139,198,not guilty,swerve,0
140,198,not guilty,stay,100
141,199,guilty,swerve,0
142,199,guilty,stay,40
143,200,not guilty,swerve,50
144,200,not guilty,stay,40
